Overall the hotel staff was very friendly.,pos
The location was great for the area of the city I needed  to be in.,pos
"The bed was comfortable, the room was spacious, and the bathroom as huge.",pos
"My wife enjoyed the large soaking tub, and I enjoyed the rain shower.",pos
I would stay at this hotel again.,pos
The staff was so attentive to all of our needs and asks.,pos
Two different staff over the course of our stay brought our 4 year old twins color books and teddy bears.,pos
They were awesome.,pos
The room was extremely clean.,pos
It was very spacious and had all of the amenities of home and more.,pos
The service was very good. ,pos
The front desk upgraded our room upon arrival.,pos
The bellman was extremely friendly and knowledgeable about our room.,pos
The service was amazing and the staff was cooperative.,pos
They sent up a note and a tray of chocolate covered strawberries for my husband''s birthday shortly after arrival.,pos
We also used the brand new house Jaguar to go to diinner.,pos
The location was amazing but the room was poorly maintained.,pos
The driver was just so nice.,pos
"When we returned to our room after dinner, our bed was turned down, our slippers were next to each side of the bed along with chocolate chips cookies and water bottles!!!",pos
We will most definitely stay here again even though we live in NYC!,pos
The newly opened fitness facility is awesome.,pos
The bed was very comfy.,pos
Close to Time Square without being in Time Square.,pos
Absolutely outstanding.,pos
The staff are wondefully friendly and extremely efficient.,pos
"The room was beautiful, with every amenity possible, including the pressing service (saved me from looking crumpled) and the concierge letting me keep my luggage there during the day.",pos
I only had a small room service meal,pos
it was exquisite.,pos
A beautiful hotel run perfectly - bravo!,pos
Location and room size,pos
"Shower was amazing, bed was beyond comfortable, complimentary pressing of shirts!",pos
The Langham is a magnificent hotel that takes hospitality very serious and it shows.,pos
"Room very nice, bed very comfy.",pos
Everything very fresh and modern.,pos
Staff very helpful and polite.,pos
They offered to press some clothes free of charge though don't know if that is a regular thing.,pos
We were overwhelmed with the service provided by all staff members.,pos
We were absolutely blown away when we checked in as we had been upgraded to a suite rather than the room we had booked.,pos
I can't speak highly enough of this hotel.,pos
Residence suite offered all the amenities and more than sufficient room to enjoy the privacy and luxury of your own home in one of the best spots in Manhattan.,pos
Ai Fiori Restaurant offers a fantastic Dining experience,pos
The customer service here is superb!,pos
So much attention to detail it was as if I were the only guest there.,pos
"I upgraded to a resident suite on the 26th floor which was well worth the added space, and amenities to feel just like home.",pos
I cannot express enough how great it was to see every employee smiling and truly happy to improve your experience while in NYC.,pos
"I've stayed at some of the most prestigious hotels and resorts around the world, and the Langham Place on Fifth ranks within my top 3 experiences to date.",pos
The staff has everything to do with that rating!,pos
I will return without a question of doubt,pos
nothing,pos
"- The staff were outstanding and so helpful, the little touches like our favourite cookies in the room, helping us with information and taxis to airports.",pos
"- The location is great - right in the hub of everything and minutes from the Empire State Building - perfect for taking advantage of it's late night opening hours
- Nice big bathroom
- Lots of TV channels
- Nice amenities including hairdryer
- Complimentary sweets/drinks next to lifts 
- Free Wi-Fi",pos
"We stayed in a Langham Suite, which was a wonderful room.",pos
First class service.,pos
Delicious Italian food in the restaurant.,pos
Conciege couldn't do enough for you and were very friendly.,pos
They also got us some great dinner reservations for places used by new Yorkers rather than tourists.,pos
"The room was very clean, the bed extremely comfy and overall very luxurious.",pos
View of the Empire State Building was great.,pos
"Great location on 5th avenue with quick walking distance to the major attractions, Bryant Park, Times Square, Maddison square gardens, broadway etc.",pos
We also managed to walk to Chelsea in half hour.,pos
"We loved all the special touches... candy in the lobby, cookies at turn down service, good bottled water, very friendly staff.",pos
"Also, the restaurant was excellent!",pos
I found the Langham a fantastic hotel with great staff and very clean.,pos
Great stay.,pos
Staff was great.,pos
Room was great.,pos
Very large and comfortable.,pos
Appreciated the Bookings.com rate!,pos
!,pos
The bed I slept in was  crafted from the clouds of heaven.,pos
I have stayed in what were considered high end  hotels in the past and have left with nothing more than a pain in my back and a noticeable chunk missing in my back account.,pos
I paid a lot for this hotel and felt that it was worth every penny.,pos
Free upgrade to a suite after late arrival.,pos
Minibar prices fair.,pos
Great room service.,pos
Rooms well appointed.,pos
Nothing missing,pos
"The room was very, very, very spacious with a sitting area.",pos
all nicely designed and decorated.,pos
3 TV screens including in the bathroom!,pos
The nesspresso coffee station and fresh cookies every day made you feel at home.,pos
"The front desk team, concierge and housekeeping even remembered my name after the first night and made me feel extra special.",pos
I will definitely return,pos
"Very helpful and friendly staff, good location",pos
Perfect set up for a family of four in the suite.,pos
"Loved the special touches like the fruit, cookies and comped soft drinks/water.",pos
Very comfortable & will definitely go back.,pos
Great location--close,pos
not too close to the Times Square action.,pos
Walked to theater with ease.,pos
The appartment was extremely spacious with views from 4 windows.,pos
The staff were very friendly and helpful.,pos
The bathroom was exceptional.,pos
Location & room size,pos
"Comfortable bed, gorgeous bathroom (great water pressure in the shower), spacious and well appointed room.",pos
Location is great.,pos
Excellent and attentive staff!,pos
Extremely friendly staff who regularly checked if there was anything extra they could do to help out.,pos
The room was simple yet elegant and comfortable.,pos
A good size for the location.,pos
Unfortunately the gym was being renovated.,pos
"There was an option to go to a nearby fitness club, however I did not do this.",pos
Free coffee in the lobby in the mornings was a nice touch.,pos
Room was very large especially for New York .,pos
A family could have used the bath !,pos
Staff were excellent and the bedtime cookies were yummy,pos
Many !!!,pos
"thanks to the managing director, the head of security (Stan) and the other staff nvolved for  their help and their support, which me and kids experienced, when my wife became seriously ill during our stay.",pos
"As frequent travellers we very well know that this was,- even for a 5 star hotel-  really unique!!!!",pos
Felt like being with our family...,pos
"After a slow start with a noisy room ""construction"", the staff surprised me with an enormous suite.",pos
Way above and beyond my expectations.,pos
Truly a first class hotel from top to bottom.,pos
"They handled an unfortunate,",pos
"necessary situation to upgrade the property, and did it with style.",pos
"Good service, comfortable rooms, linen and towels felt fresh and only 2m walk from Empire State building and Macys.",pos
Consistent each time for quality,pos
"Lovely large bathroom, a large living room which easily housed us.",pos
Great cookies and water left beside our bed each night.,pos
Very friendly and helpful staff.,pos
A great location with an easy walk to the tubes.,pos
Late check out....,pos
Courtesy drinks and nibbles in the foyer......comfortable bed....coffee machine in room,pos
This is an exceedingly well run 5 star hotel in the ideal location for exploring New York.,pos
All staff are well trained and were always keen to go the extra mile to make sure guests are comfortable and all requests are dealt with.,pos
very polite and courteous employees.,pos
Proper and rich equipped rooms.,pos
"The staff were amazing, we travelled to New York to get married (just the two of us) and the staff were incredible.",pos
We didn't want to leave and will definitely be returning.,pos
"I like the clean spacious bathroom, though the design should include a shower cubicle with such huge space allocated for barhroom.",pos
I imagine older people would have problem climbing in and out of the bathtub everytime,pos
"Master suite was fabulous- the bed, bedroom, storage, master bathroom, complimentary pressing of items on arrival etc.",pos
kitchen facilities were great- an espresso machine and all!,pos
Exceptionally nice front desk staff and the doormen were always there to help us in and out.,pos
"Quiet room, despite being on the 5th floor overlooking 5th Avenue!",pos
Excellent location with nearby subway stops and within walking distance of many fabulous destinations.,pos
Courteous and friendly staff.,pos
The location is great if you wanna be close to Empire State building and the busy 5th avenue.,pos
"Size of room and bathroom
Equipment in the gym
Kitchenette and washing machine
room service food was good
flexibility on late check out to 3pm",pos
"Melissa helped us changing the room as the previous it was on lower floor, bit noisy.",pos
The door man was really friendly.,pos
"Abhu and the other man ( Chinese )
As well as everyone from cleaners to the receptionists.",pos
We have had a brilliant time.,pos
"Very personal service, beyond expectations!",pos
The staff was very kind and helpfull!,pos
Excellent location!,pos
Very spacious rooms!,pos
Perfect place to stay with our children aged 7 & 9.,pos
We chose the residential suite which had a small kitchen and washer/dryer.,pos
The children shared the large sofa bed in the sitting room and had their TV and WC.,pos
We had our own spacious room with ensuite.,pos
The staff were excellent and so helpful.,pos
The room was immaculately clean with cookies and bottles of water left out every night.,pos
Would stay here again.,pos
"Loved the hotel location, set up, staff were all amazing and helpful soon as we arrived from outside I new we would have a great stay.",pos
First impressions always count.,pos
We are new to the Langham group.,pos
This is our first time to stay with Langham hotel.,pos
The hotel itself is modern and centrally located in 5th avenue.,pos
With truly international standard.,pos
The decor and the room itself are of excellent standard and remarkably spacious.,pos
"The hotel staffs are well trained with international professional standard, very friendly, not superficial and attention to details; we are being well looked after.",pos
"We are already looking forward to stay with the hotel again next Feb. A special thank you to David Canas, the Cheif concierge and to all staff such as,",pos
"not limited to the front office, Concierge and to the guest service Patrick, etc.",pos
Thank you very much for looking after us and make our stay very pleasant.,pos
Merci Beaucoup & Dankschön to Langham New York.,pos
Looking forward to see you all again.,pos
The bathtub was huge!,pos
First thing I did was take a fizzy bath!,pos
When we got to our room there were chocolate covered strawberries and a little fondant sign writhing a happy anniversary!,pos
It really made us feel special.,pos
Staff is just amazing!,pos
They are very professional and wonderfully helpful!,pos
With a smile.,pos
"We had a family room, which is very spacious and perfect when Travelling with kids.",pos
"Added bonus considering you are in NYC: it was soooo quiet - never heard other guests, though it was fully booed with families.",pos
"Location, location, location!",pos
"We found this hotel through booking.com and based in the reviews (and the 35% one day discount), we decided to give it a go.",pos
"From the moment we arrived, all staff at Langham Place couldn't do enough to help us and make our stay there amazing.",pos
"The concierges (David, Derek, David, Dennis and Erik) know NYC like the backs of their hands, and will, with pleasure, point you in the right direction for things to do, places to eat, etc.",pos
We can't thank them enough!,pos
"The hotel itself - based midtown on Fifth Avenue - is impeccably located, surrounded by department stores (shoppers heaven), a very short stroll from Times Square, the Empire State, etc, and a taxi ride uptown or downtown is quick and easy (it was way too hot in the summer for too much walking).",pos
We received a free upgrade to the 16th floor with a view of the Chrysler Building.,pos
"The room was gorgeous - comfy, well laid out and had an amazingly spacious and well planned bathroom.",pos
"We especially appreciated the complimentary water bottles each day, as well as the delicious cookies each night!",pos
"We are thankful we had the opportunity to stay in this hotel, and would most definitely stay there again if we go back to New York.",pos
I can't recommend it enough.,pos
The location was ideal for checking out NYC.,pos
Room was very big and the bed comfortable.,pos
Staff was very friendly and helpful.,pos
"Staff is beyond amazing, from the front door all the way through.",pos
Front door man Abu and Ashlyn at the front desk were very helpful to mention,pos
a few.,pos
"The famliy room was spacious for the four of us, and that in NYC.",pos
The renovations didn't cause any problems.,pos
Room spacious.,pos
Staff extremely courteous and concierge extremely helpful.,pos
Location brillant as quieter,pos
"so central so convenient for uptown and downtown,",pos
"The hotel was top quality, location was spot on for New York getting everywhere by walking.",pos
Staff always friendly especially Kenneth and Abu the door staff!,pos
Always welcomed me every morning and every evening during my stay.,pos
Always recommended the best places to go and always sorted out my queries.,pos
Amazing people :),pos
Phenomenal location.,pos
Empire State building was two minutes away.,pos
"We could walk to Grand Central Station, New York Public Library, Times Square, Rockefeller Center and Central Park.",pos
"Very warm, efficient and friendly staff.",pos
Room was very comfortable and the family room we stayed in had a small washing machine and dryer too apart from all the useful amenities.,pos
"Perfect location, just 100m from Empire State, in the real heart of Manhattan.",pos
"The staff is simply unbelievable, helpful, kind and dedicated to your comfort.",pos
Worth every penny,pos
Everything was amazing.,pos
The staff and the service they provided were 5 star.,pos
"Big hotel room, immaculate room and bathroom, perfect location.",pos
10/10 - will 100% be back!,pos
location is fab and near by empire building.,pos
They provides very good service and free drinks with the one bed room apartment we stayed.,pos
All in all awesome!),pos
Staff amazing!,pos
"Location perfect on 5th Avenue and the hotel was really lovely, couldn't do enough to help, will be going back!",pos
!,pos
Ideal position on 5th avenue.,pos
Large room with Empire state building view.,pos
In the lobby there was tea and coffee available,pos
Great location and views.,pos
Customer service of high standard.,pos
Faultless end to end service how a good quality hotel should be.,pos
Highly recommended.,pos
From our arrival until our departure the staff provided us with great service.,pos
Our stay was very nice and enjoyable and we would definitely recommend this property to anyone visiting New York.,pos
The hotel is perfectly located to wander around on foot or by taxi.,pos
"Room service quick
Rooms extra spacious
In room coffee machine, iron, bathroom amenities 
LOCATION
Concierge was very good",pos
Wonderfull and relaxing stay in a location within walking distance of many big attractions in NYC and close to the most important subway lines for Manhattan.,pos
Huge rooms and bathrooms and very hospitable staff.,pos
It was in a great location in the city.,pos
"Near time square, Central Park, and many shops.",pos
The staff was excellent and we look forward to returning again.,pos
Staff were amazing and really made you feel at home.,pos
My wife and I were on our honeymoon and they really made us feel special from arrival until we left.,pos
The little things really make this an amazing hotel.,pos
"The juice in the lobby, the mahogany smell of the corridors, the rooms were enormous!",pos
"They let us check in at 11am as we arrived early, no questions asked.",pos
Best hotel I've stayed out in years.,pos
Would stay here again next time we are in New York.,pos
The location is very central.,pos
The staff were excellent.,pos
Josh at the bar of Ai Fiori was good company and makes great cocktails.,pos
The room was luxurious and very spacious.,pos
Excellent insulation from the noise outside.,pos
Great attention to detail.,pos
Quiet room and the most comfortable bed...The staff were all so kind and charming.,pos
Love the Jaguar too!,pos
The bed was very comfortable.,pos
The staff were very attentive and helpful.,pos
We changed our room from superior room to junior suite which was on 27th floor with amazing view and very spacious.,pos
We stayed in a 1 bedroom family suite.,pos
The pics online were fabulous,pos
paled in comparison to the experience of walking in the door.,pos
The staff was amazing.,pos
I felt incredibly welcomed.,pos
Looking forward to my next stay.,pos
The accomodations were top notch.,pos
I continue to rave about the experience to all my friends.,pos
The hotel was absolutely fabulous!,pos
"The accommodations, guest services, bar, staff were so great!",pos
"The size of our room (family room w/ two queen beds) was the biggest room I've ever stayed in, in NYC.",pos
Can't wait to return and stay at this property again.,pos
I have nothing,pos
good things to say about this hotel.,pos
Location is AWESOME!,pos
Center of everything.,pos
impeccable service!,pos
nothing makes a place without its people.,pos
every staff i met made my already lovely and happy visit even lovelier!,pos
"apart from that, hotel looks are modern and new and has all facilities that i need.",pos
i got room with view of the Empire State Building!,pos
We have traveled all over the world and stayed in a variety of highly rated properties,pos
this property stands out!,pos
"The staff were thoughtful,courteous and went the extra mile.",pos
Location was perfect.,pos
"You could not ask for a better hotel in sea of meritocracy, we will never stay anywhere else in NYC going forward.",pos
"Room was very comfortable, and the view we got was excellent.",pos
Loved the pool and root top bar.,pos
Kids were thrilled,pos
Staff member named Charles provided great assistance with checking suitcases until time to depart.,pos
Then assisted with printing boarding passes.,pos
This man was great.,pos
"Cool hotel and super well located in the middle of West Village, next to Chelsea Market.",pos
Reception staff is nice and helpful.,pos
Design of the hotel is overall nice.,pos
Nice hotel blocks from Whitney Museum and Chelsea Market.,pos
We stayed to check out a new area of NY.,pos
Definitely young clientele.,pos
I travelled with my 23 year old daughter.,pos
"Great room, the staff were very friendly and always looking to help.",pos
First time I remember having a flatiron provided.,pos
Mini bar well stocked and L'Occitane products which is always nice.,pos
"Friendly and helpful staff, cleanliness, location",pos
The location and service was good.,pos
"Some of the staff went out of their way, which was truly appreciated.",pos
The room was big for NYC.,pos
The location is perfect.,pos
Lots nearby.,pos
Our concierge Diana was super helpful.,pos
All of the staff was so nice and helpful.,pos
The lobby had lots of energy.,pos
And it was easy to walk out and get a cab/transportation.,pos
Housekeeping came in late afternoon to tidied up and prepared the room for the night by pulling in the curtains and adding a paper rug next to the bed.,pos
Rooms were silghtly larger than most hotels by theatre district.,pos
Clean bathrooms and they offer high-end bath supplies like L'occitane.,pos
"Nice hotel, good staff.",pos
The queen bed is too small (especially for a couple) so you'd better to order a king one in advance.,pos
"Location and decor, staff as well",pos
I love the location.,pos
For the most part the staff was great,pos
The front desk was helpful.,pos
"Friendly staff, loved the quirky look",pos
Robes were nice,pos
"Location, large rooms for Manhattan, stylish",pos
"The breakfast was disgusting 
Not edible",pos
Loved it!!!!!,pos
"Great location, wonderful staff, best shower EVER:) This is truly a wonderful hotel.",pos
